#SampleID	female	male
L2S1.273670	0	1
L2S10.274052	0.0162162162162162	0.983783783783784
L2S11.274220	0	1
L2S12.274348	0	1
L2S13.273885	0	1
L2S14.274730	0.0117647058823529	0.988235294117647
L2S15.274449	0.00529100529100529	0.994708994708995
L2S16.273836	0	1
L2S17.274246	0.0146341463414634	0.985365853658537
L2S18.274071	0	1
L2S19.275049	0	1
L2S2.274088	0.0238095238095238	0.976190476190476
L2S20.274098	0.0120481927710843	0.987951807228916
L2S21.274770	0.0108108108108108	0.989189189189189
L2S22.274974	0.010989010989011	0.989010989010989
L2S23.275132	0.0105820105820106	0.989417989417989
L2S24.274902	0.00584795321637427	0.994152046783626
L2S25.273926	0	1
L2S26.274870	0	1
L2S28.274711	0.0111111111111111	0.988888888888889
L2S29.273464	0.00515463917525773	0.994845360824742
L2S3.273423	0.0105820105820106	0.989417989417989
L2S30.274665	0.0173410404624277	0.982658959537572
L2S31.273258	0	1
L2S32.273780	0.0106951871657754	0.989304812834225
L2S33.275034	0.00543478260869565	0.994565217391304
L2S34.274160	0	1
L2S35.274125	0.00561797752808989	0.99438202247191
L2S36.274819	0	1
L2S38.274986	0	1
L2S39.273828	0	1
L2S4.274408	0.0108108108108108	0.989189189189189
L2S40.274521	0	1
L2S41.274536	0.00543478260869565	0.994565217391304
L2S42.274282	0.00591715976331361	0.994082840236686
L2S43.273410	0.00985221674876847	0.990147783251232
L2S44.274128	0.00552486187845304	0.994475138121547
L2S45.274136	0	1
L2S46.274196	0.00558659217877095	0.994413407821229
L2S47.273331	0	1
L2S48.274848	0.0260416666666667	0.973958333333333
L2S49.273493	0.00568181818181818	0.994318181818182
L2S5.274932	0.00564971751412429	0.994350282485876
L2S50.274129	0	1
L2S51.274458	0.0109289617486339	0.989071038251366
L2S52.274510	0.00526315789473684	0.994736842105263
L2S53.274744	0	1
L2S54.273803	0	1
L2S55.273237	0	1
L2S56.274152	0.0050761421319797	0.99492385786802
L2S57.273720	0.308571428571429	0.691428571428571
L2S58.275074	0	1
L2S59.273382	0.00552486187845304	0.994475138121547
L2S6.273637	0	1
L2S60.273730	0.00632911392405063	0.993670886075949
L2S61.274821	0	1
L2S62.274700	0	1
L2S63.274401	0	1
L2S64.273911	0.0113636363636364	0.988636363636364
L2S65.273492	0.00540540540540541	0.994594594594595
L2S66.273772	0	1
L2S67.274224	0.00546448087431694	0.994535519125683
L2S68.274198	0	1
L2S69.274304	0	1
L2S7.274964	0.0150753768844221	0.984924623115578
L2S70.275150	0	1
L2S71.274066	0.0285714285714286	0.971428571428571
L2S72.274803	0.00543478260869565	0.994565217391304
L2S73.273400	0.0216216216216216	0.978378378378378
L2S74.275009	0.00558659217877095	0.994413407821229
L2S75.274835	0.0050251256281407	0.994974874371859
L2S76.273540	0.00574712643678161	0.994252873563218
L2S77.275174	0	1
L2S78.274519	0	1
L2S8.274367	0.0120481927710843	0.987951807228916
L2S81.274524	0.00636942675159236	0.993630573248408
L2S82.273335	0	1
L2S83.274705	0	1
L2S84.273312	0.00531914893617021	0.99468085106383
L2S86.274853	0.0106382978723404	0.98936170212766
L2S87.273805	0.00523560209424084	0.994764397905759
L2S88.273522	0.00529100529100529	0.994708994708995
L2S89.274561	0.029585798816568	0.970414201183432
L2S9.274120	0	1
L2S90.274515	0	1
L2S91.275128	0.0207253886010363	0.979274611398964
L2S92.273461	0.00540540540540541	0.994594594594595
L2S93.273568	0.0265957446808511	0.973404255319149
L2S94.274742	0.0105263157894737	0.989473684210526
L2S95.273958	0.00552486187845304	0.994475138121547
L1S1.275106	0.578651685393258	0.421348314606742
L1S10.274330	0.96	0.04
L1S100.274845	0.979899497487437	0.0201005025125628
L1S101.274587	0.972527472527473	0.0274725274725275
L1S102.273491	0.972375690607735	0.0276243093922652
L1S103.273727	0.984924623115578	0.0150753768844221
L1S104.274727	0.989583333333333	0.0104166666666667
L1S105.273315	0.979695431472081	0.0203045685279188
L1S106.275162	0.976744186046512	0.0232558139534884
L1S107.274626	0.97752808988764	0.0224719101123595
L1S108.274826	0.972527472527473	0.0274725274725275
L1S109.273718	0.978723404255319	0.0212765957446809
L1S11.274949	0.970760233918129	0.0292397660818713
L1S110.274759	0.978142076502732	0.0218579234972678
L1S111.274126	1	0
L1S112.274528	0.988304093567251	0.0116959064327485
L1S113.274445	0.960893854748603	0.0391061452513966
L1S114.274060	0.982558139534884	0.0174418604651163
L1S115.274581	0.989010989010989	0.010989010989011
L1S116.274735	0.994505494505495	0.00549450549450549
L1S117.275153	0.989795918367347	0.0102040816326531
L1S118.274243	0.989071038251366	0.0109289617486339
L1S119.273846	0.932515337423313	0.0674846625766871
L1S12.273922	0.988826815642458	0.0111731843575419
L1S120.274954	0.988826815642458	0.0111731843575419
L1S121.275017	0.962566844919786	0.0374331550802139
L1S122.273565	0.979274611398964	0.0207253886010363
L1S123.274118	0.978609625668449	0.0213903743315508
L1S124.274955	0.97	0.03
L1S125.273208	0.931578947368421	0.068421052631579
L1S126.274219	0.973118279569892	0.0268817204301075
L1S127.274374	0.971264367816092	0.028735632183908
L1S128.274455	0.989690721649485	0.0103092783505155
L1S129.274829	0.989247311827957	0.010752688172043
L1S13.273294	0.904761904761905	0.0952380952380952
L1S130.275078	0.98876404494382	0.0112359550561798
L1S131.274927	0.994594594594595	0.00540540540540541
L1S132.274000	0.973262032085562	0.0267379679144385
L1S133.274859	0.3	0.7
L1S134.274174	0.217142857142857	0.782857142857143
L1S135.274571	0.205555555555556	0.794444444444444
L1S136.273951	0.148717948717949	0.851282051282051
L1S137.274284	0.046242774566474	0.953757225433526
L1S138.273308	0.0773480662983425	0.922651933701657
L1S139.274985	0.0163934426229508	0.983606557377049
L1S14.273420	0.989473684210526	0.0105263157894737
L1S140.274872	0.0497237569060773	0.950276243093923
L1S141.275086	0.0337078651685393	0.966292134831461
L1S142.273722	0.0161290322580645	0.983870967741935
L1S143.273938	0.0494505494505494	0.950549450549451
L1S144.273302	0.0670103092783505	0.93298969072165
L1S145.275016	0.0157894736842105	0.984210526315789
L1S146.273215	0.0274725274725275	0.972527472527473
L1S147.273683	0.0348837209302326	0.965116279069767
L1S148.273970	0.0225988700564972	0.977401129943503
L1S149.274022	0.00529100529100529	0.994708994708995
L1S15.273775	0.938461538461538	0.0615384615384615
L1S150.274261	0.0337078651685393	0.966292134831461
L1S151.274520	0.0444444444444444	0.955555555555556
L1S152.274042	0.0279329608938547	0.972067039106145
L1S153.275061	0.0232558139534884	0.976744186046512
L1S154.274659	0.0635838150289017	0.936416184971098
L1S155.274457	0.0271739130434783	0.972826086956522
L1S156.274463	0.0483870967741935	0.951612903225806
L1S157.273481	0.0351758793969849	0.964824120603015
L1S158.274569	0.0276243093922652	0.972375690607735
L1S159.273766	0.0402298850574713	0.959770114942529
L1S16.274184	0.977011494252874	0.0229885057471264
L1S160.274321	0.0161290322580645	0.983870967741935
L1S161.273299	0.0170454545454545	0.982954545454545
L1S162.273721	0.0108695652173913	0.989130434782609
L1S163.274658	0.0202020202020202	0.97979797979798
L1S164.274254	0.0340909090909091	0.965909090909091
L1S165.274417	0.0402298850574713	0.959770114942529
L1S166.274223	0.0256410256410256	0.974358974358974
L1S167.275065	0.0391061452513966	0.960893854748603
L1S168.274809	0.0290697674418605	0.970930232558139
L1S169.274242	0.0231481481481481	0.976851851851852
L1S17.274647	0.979057591623037	0.0209424083769634
L1S170.274450	0.0335195530726257	0.966480446927374
L1S171.273375	0.0227272727272727	0.977272727272727
L1S172.273802	0.0585106382978723	0.941489361702128
L1S173.274765	0.0465116279069767	0.953488372093023
L1S174.274640	0.0216216216216216	0.978378378378378
L1S175.274934	0.0159574468085106	0.984042553191489
L1S176.274621	0.243386243386243	0.756613756613757
L1S177.273454	0.0184049079754601	0.98159509202454
L1S178.275068	0.010752688172043	0.989247311827957
L1S179.273902	0.0467836257309941	0.953216374269006
L1S18.273422	0.98936170212766	0.0106382978723404
L1S180.274231	0.0564971751412429	0.943502824858757
L1S181.274221	0.0352941176470588	0.964705882352941
L1S182.274506	0.0248756218905473	0.975124378109453
L1S183.274343	0.0376344086021505	0.962365591397849
L1S184.273919	0.0340909090909091	0.965909090909091
L1S185.273473	0.0197044334975369	0.980295566502463
L1S186.274486	0.00537634408602151	0.994623655913978
L1S187.274092	0.00578034682080925	0.994219653179191
L1S188.273373	0	1
L1S189.273436	0	1
L1S19.274514	0.993827160493827	0.00617283950617284
L1S190.273282	0.00518134715025907	0.994818652849741
L1S191.273263	0.0195121951219512	0.980487804878049
L1S193.275122	0.0102040816326531	0.989795918367347
L1S194.274523	0.00555555555555556	0.994444444444444
L1S195.273591	0.0335195530726257	0.966480446927374
L1S196.273245	0.005	0.995
L1S197.274086	0	1
L1S198.273806	0	1
L1S199.274339	0.00571428571428571	0.994285714285714
L1S2.274869	0.871508379888268	0.128491620111732
L1S20.274555	0.984375	0.015625
L1S200.273384	0.00526315789473684	0.994736842105263
L1S201.273866	0	1
L1S202.273285	0.029940119760479	0.970059880239521
L1S203.273731	0	1
L1S204.274607	0.0216216216216216	0.978378378378378
L1S205.274565	0.00529100529100529	0.994708994708995
L1S206.273247	0.00523560209424084	0.994764397905759
L1S207.274287	0.00568181818181818	0.994318181818182
L1S208.274741	0.00558659217877095	0.994413407821229
L1S209.273658	0.00555555555555556	0.994444444444444
L1S21.274476	0.99468085106383	0.00531914893617021
L1S210.274468	0	1
L1S212.274379	0.00574712643678161	0.994252873563218
L1S213.274333	0.00552486187845304	0.994475138121547
L1S214.274105	0.00518134715025907	0.994818652849741
L1S215.273708	0	1
